name,state,south,british,german,mobility
Vidalia,Georgia,True,32.29458,4.48687,4.8065295
Milledgeville,Georgia,True,30.138414,3.3560865,3.2226562
Dublin,Georgia,True,30.138414,3.3560865,3.2026968
Atlanta,Georgia,True,33.40816,10.289177,4.5329733
Griffin,Georgia,True,33.601303,7.2925644,4.028133
Winder,Georgia,True,36.434124,9.056458,3.7950664
Toccoa,Georgia,True,38.75748,7.0621543,4.166667
Gainesville,Georgia,True,38.515114,7.31034,6.97157
Talladega,Alabama,True,34.226788,4.4382563,4.4903226
LaGrange,Georgia,True,33.30042,6.128768,5.234302
Columbus,Georgia,True,26.13253,8.083115,3.4960334
Americus,Georgia,True,22.381983,5.038809,3.440743
Auburn,Alabama,True,29.641596,5.815395,3.4264803
Tallahassee,Florida,True,31.091795,9.46798,4.7025814
Panama City,Florida,True,32.5783,11.357584,5.8157487
Bainbridge,Georgia,True,26.527287,4.037595,3.9333332
Thomasville,Georgia,True,26.527287,4.037595,3.2886195
Albany,Georgia,True,25.332174,5.610484,2.7632687
Eufaula,Georgia,True,29.178741,5.4186864,2.2954924
Dothan,Alabama,True,35.423485,6.7042084,5.828221
Meridian,Mississippi,True,31.22104,5.103507,4.6772876
Columbus,Mississippi,True,28.318426,5.868155,3.6027853
Starkville,Mississippi,True,27.763865,6.53548,3.9936104
Jasper,Alabama,True,37.451725,5.783976,8.658836
Birmingham,Alabama,True,31.404009,7.181424,5.0431833
Tuscaloosa,Alabama,True,31.096619,5.98782,4.032258
Demopolis,Alabama,True,24.472237,3.6426148,4.2383046
Pensacola,Florida,True,32.199524,13.343489,6.120634
Mobile,Alabama,True,26.6595,8.305265,5.1398
Atmore,Alabama,True,28.975433,6.6814094,4.778761
Montgomery,Alabama,True,29.877487,7.1914463,3.3037372
Troy,Alabama,True,29.926146,4.5151267,6.798867
Bluefield,Virginia,True,41.788284,11.494758,11.074919
Welch,West Virginia,True,31.895653,10.133333,15.991471
Big Stone Gap,Virginia,True,46.248085,9.222393,10.360825
Fredericksburg,Virginia,True,35.24051,13.873418,9.458128
Baltimore,Maryland,True,22.307756,25.290289,6.400739
Colonial Beach,Virginia,True,36.804565,6.1816454,6.545153
Washington DC,District of Columbia,True,26.477676,16.961878,10.9811735
Marquette,Michigan,False,21.222464,23.599257,9.656513
Marinette,Michigan,False,13.087234,34.072414,10.272536
Sault Ste. Marie,Michigan,False,22.60633,22.509224,9.91832
Jackson,Michigan,False,35.245846,30.831268,6.3088784
Detroit,Michigan,False,22.597614,21.587563,5.459276
Lansing,Michigan,False,35.049206,30.119228,6.411674
Mount Pleasant,Michigan,False,35.02772,33.40048,6.4615383
Saginaw,Michigan,False,25.730207,35.962505,6.440809
Big Rapids,Michigan,False,29.107592,31.598309,7.430792
Ludington,Michigan,False,29.014507,31.539211,7.607362
Kalamazoo,Michigan,False,33.090412,26.112112,5.2623134
Grand Rapids,Michigan,False,25.015757,24.856848,6.3729167
Traverse City,Michigan,False,28.561821,31.2518,7.424867
Petoskey,Michigan,False,27.480661,31.643566,7.6555023
Alpena,Michigan,False,26.833805,31.8978,7.8644066
Grayling charter,Michigan,False,27.411848,31.695688,7.488987
Dayton,Ohio,False,27.17539,33.18226,4.8814507
Washington Court House,Ohio,False,35.00972,26.313894,5.3333335
Wayne,Indiana,False,33.32448,30.349318,5.398111
Cincinnati,Ohio,False,26.481575,34.468098,5.121195
Maysville,Kentucky,True,43.071594,11.662818,5.284553
Washington,Indiana,False,29.515839,34.876106,10.6587715
Lexington-Fayette,Kentucky,True,39.496,14.281477,5.3745
Mount Sterling,Kentucky,True,43.071594,11.662818,6.2291436
Danville,Kentucky,True,38.680485,11.63259,7.274969
Elizabethtown,Kentucky,True,33.80331,15.786393,8.159895
Louisville,Kentucky,True,28.787073,24.046547,5.1995487
Madison,Indiana,False,29.886797,33.621956,9.382716
Bardstown,Kentucky,True,39.74626,9.164931,7.621671
Owensboro,Kentucky,True,35.8958,13.180635,9.230257
Findlay,Ohio,False,27.096485,44.36695,7.361456
Lima,Ohio,False,22.179155,51.68605,6.948177
Toledo,Ohio,False,22.934496,39.383297,5.7480803
Defiance,Ohio,False,23.307259,53.26326,8.147322
South Bend,Indiana,False,22.873991,33.282875,6.013457
Concord,Indiana,False,28.139978,39.17231,7.340099
Wayne,Indiana,False,26.467314,35.16759,9.151414
Center,Indiana,False,28.031376,29.738995,6.6135087
Muncie,Indiana,False,31.671316,26.29527,5.317324
Fort Wayne,Indiana,False,24.199884,43.04651,6.5946565
Indianapolis,Indiana,False,30.033068,24.97862,4.9006324
Columbus,Indiana,False,30.800262,32.191856,7.468643
Terre Haute,Indiana,False,31.141508,24.075468,8.262526
Lafayette,Indiana,False,28.552855,31.026718,9.083357
Bloomington,Indiana,False,31.748755,28.950703,8.718585
Evansville,Indiana,False,30.297466,38.612625,7.923892
Olney,Illinois,False,35.151306,26.80968,11.693989
Vincennes,Indiana,False,32.05596,29.360607,10.983982
Gary,Indiana,False,17.365696,22.110899,8.139013
Canton,Ohio,False,26.490425,38.259922,6.491085
Lorain,Ohio,False,24.587774,34.32521,5.660012
